Date, Open, High, Low, Close
02/11/21, 73.91, 73.95, 73.54, 73.68
02/10/21, 73.90, 74.07, 73.64, 73.92
02/09/21, 74.37, 74.46, 73.87, 73.92
02/08/21, 74.61, 74.79, 74.15, 74.37
02/05/21, 75.54, 75.70, 74.53, 74.65
02/04/21, 75.79, 76.07, 75.31, 75.56
02/03/21, 76.20, 76.32, 75.78, 75.82
02/02/21, 76.05, 76.31, 75.34, 76.16
02/01/21, 75.95, 76.20, 75.35, 76.10
01/29/21, 75.96, 76.34, 75.24, 75.95
01/28/21, 75.85, 76.49, 75.69, 76.07
01/27/21, 75.11, 75.98, 74.79, 75.86
01/26/21, 75.37, 75.79, 74.95, 75.11
01/25/21, 75.31, 75.86, 74.58, 75.38
01/22/21, 74.09, 75.36, 73.87, 75.26
01/21/21, 73.50, 74.09, 73.19, 74.00
01/20/21, 73.81, 73.94, 73.22, 73.50
01/19/21, 73.93, 74.08, 73.61, 73.82
01/18/21, 73.50, 74.37, 73.50, 73.94
01/15/21, 73.45, 73.87, 73.24, 73.52
01/14/21, 73.86, 74.02, 73.11, 73.29
01/13/21, 73.46, 73.97, 73.39, 73.86
01/12/21, 74.71, 74.79, 73.46, 73.47
01/11/21, 74.08, 74.99, 73.95, 74.71
01/08/21, 74.70, 74.82, 73.83, 74.08
01/07/21, 73.94, 74.97, 73.62, 74.74
01/06/21, 74.19, 74.27, 73.40, 73.96
01/05/21, 74.51, 75.23, 73.85, 74.28
01/04/21, 73.94, 74.57, 73.08, 74.48
01/01/21, 74.02, 74.02, 73.94, 73.94
12/31/20, 74.37, 75.25, 73.77, 74.02
12/30/20, 73.67, 74.99, 73.43, 74.34
12/29/20, 73.81, 74.20, 73.38, 73.94
12/28/20, 74.06, 74.33, 73.53, 73.79
12/25/20, 74.03, 74.22, 73.62, 74.06
12/24/20, 74.98, 75.25, 73.86, 74.04
12/23/20, 75.92, 76.03, 74.73, 75.00
12/22/20, 74.68, 76.00, 74.41, 75.93
12/21/20, 73.43, 75.47, 73.43, 74.71
12/18/20, 72.98, 73.89, 72.92, 73.43
12/17/20, 73.43, 73.45, 72.65, 72.95
12/16/20, 73.19, 73.71, 73.19, 73.40
12/15/20, 73.83, 74.19, 73.13, 73.21
12/14/20, 73.15, 73.99, 72.80, 73.87
12/11/20, 73.06, 73.39, 72.88, 73.15
12/10/20, 73.63, 73.87, 72.98, 73.05
12/09/20, 73.44, 74.04, 73.17, 73.65
12/08/20, 73.73, 74.03, 73.05, 73.44
12/07/20, 73.99, 74.50, 73.30, 73.73
12/04/20, 74.46, 74.66, 73.80, 74.12
12/03/20, 75.05, 75.40, 74.28, 74.44
12/02/20, 75.79, 76.11, 75.03, 75.06
12/01/20, 76.50, 76.50, 75.56, 75.80
11/30/20, 76.08, 76.59, 75.81, 76.51
11/27/20, 75.70, 76.31, 75.62, 76.08
11/26/20, 75.53, 75.75, 75.33, 75.70
11/25/20, 75.45, 75.97, 75.33, 75.54
11/24/20, 76.05, 76.15, 75.36, 75.48
11/23/20, 76.25, 76.51, 75.58, 76.13
11/20/20, 76.23, 76.46, 75.85, 76.21
11/19/20, 75.98, 76.59, 75.89, 76.24
11/18/20, 76.25, 76.35, 75.53, 75.98
11/17/20, 76.25, 76.66, 76.13, 76.26
11/16/20, 77.30, 77.51, 76.12, 76.15
11/13/20, 77.28, 77.70, 77.10, 77.38
11/12/20, 77.07, 77.55, 76.65, 77.28
11/11/20, 76.53, 77.18, 76.05, 77.06
11/10/20, 76.36, 76.91, 76.14, 76.53
11/09/20, 77.43, 77.66, 75.76, 76.36
11/06/20, 76.84, 77.91, 76.62, 77.43
11/05/20, 77.55, 78.77, 76.77, 76.87
11/04/20, 79.15, 79.83, 77.45, 77.55
11/03/20, 80.54, 80.66, 79.07, 79.15
11/02/20, 79.37, 80.94, 79.37, 80.54
10/30/20, 78.93, 79.63, 78.77, 79.41
10/29/20, 79.01, 79.61, 78.62, 78.91
10/28/20, 77.26, 79.23, 77.13, 79.01
10/27/20, 76.38, 77.32, 76.25, 77.28
10/26/20, 76.22, 76.61, 76.02, 76.38
10/23/20, 76.60, 76.92, 76.12, 76.22
10/22/20, 76.68, 77.45, 76.37, 76.60
10/21/20, 77.34, 77.38, 76.57, 76.65
10/20/20, 77.82, 78.08, 77.28, 77.34
10/19/20, 77.93, 78.16, 77.43, 77.81
10/16/20, 78.01, 78.35, 77.76, 77.80
10/15/20, 77.78, 78.46, 77.61, 78.01
10/14/20, 77.04, 77.80, 76.86, 77.78
10/13/20, 77.04, 77.42, 76.87, 77.04
10/12/20, 76.79, 77.26, 76.79, 77.04
10/09/20, 77.35, 77.42, 76.67, 76.77
10/08/20, 78.03, 78.15, 77.29, 77.35
10/07/20, 78.34, 78.49, 77.91, 78.03
10/06/20, 78.10, 78.66, 77.62, 78.34
10/05/20, 78.19, 78.83, 77.84, 78.10
10/02/20, 77.26, 78.79, 77.03, 78.19
10/01/20, 77.64, 77.78, 76.96, 77.25
09/30/20, 79.08, 79.39, 77.58, 77.64
09/29/20, 79.10, 79.97, 78.45, 79.09
09/28/20, 78.15, 79.30, 78.00, 79.10
09/25/20, 77.06, 78.51, 76.65, 78.15
09/24/20, 77.06, 77.49, 76.75, 77.05
09/23/20, 76.09, 77.11, 75.98, 77.04
09/22/20, 76.23, 76.58, 75.73, 76.10
09/21/20, 75.70, 76.55, 75.45, 76.15
09/18/20, 75.09, 75.77, 74.86, 75.74
09/17/20, 74.91, 75.45, 74.87, 75.09
09/16/20, 75.01, 75.40, 74.66, 74.91
09/15/20, 75.28, 75.37, 74.86, 75.01
09/14/20, 74.89, 75.51, 74.58, 75.27
09/11/20, 75.16, 75.31, 74.75, 74.89
09/10/20, 75.31, 75.68, 74.67, 75.16
09/09/20, 76.27, 76.47, 75.28, 75.31
09/08/20, 75.74, 76.58, 75.52, 76.27
09/07/20, 75.35, 76.26, 75.25, 75.74
09/04/20, 75.28, 75.68, 74.94, 75.37
09/03/20, 75.27, 75.80, 74.88, 75.27
09/02/20, 73.71, 75.71, 73.45, 75.27
09/01/20, 73.97, 74.00, 73.37, 73.71
08/31/20, 74.08, 74.51, 73.63, 73.97
08/28/20, 74.94, 75.14, 74.00, 74.09
08/27/20, 75.65, 75.71, 74.72, 74.93
08/26/20, 75.22, 76.01, 75.16, 75.66
08/25/20, 74.58, 75.72, 74.33, 75.21
08/24/20, 74.82, 74.98, 74.16, 74.58
08/21/20, 73.84, 75.02, 73.72, 74.82
08/20/20, 73.29, 74.19, 73.12, 73.84
08/19/20, 73.12, 73.55, 73.00, 73.29
08/18/20, 73.69, 73.78, 72.94, 73.13
08/17/20, 72.88, 73.80, 72.79, 73.69
08/14/20, 72.89, 73.48, 72.80, 72.87
08/13/20, 73.69, 73.85, 72.86, 72.89
08/12/20, 73.10, 73.83, 73.01, 73.68
08/11/20, 73.46, 73.61, 72.69, 73.09
08/10/20, 73.75, 74.06, 73.24, 73.46
08/07/20, 73.39, 73.92, 73.18, 73.71
08/06/20, 72.99, 73.61, 72.67, 73.39
08/05/20, 73.45, 73.57, 72.64, 72.97
08/04/20, 73.15, 74.03, 72.92, 73.38
08/03/20, 74.39, 74.59, 73.09, 73.15
07/31/20, 73.10, 74.50, 73.10, 74.38
07/30/20, 72.57, 73.79, 72.41, 73.10
07/29/20, 72.52, 72.85, 72.07, 72.57
07/28/20, 71.60, 72.70, 71.47, 72.53
07/27/20, 71.70, 71.94, 71.44, 71.60
07/24/20, 71.45, 71.99, 71.27, 71.67
07/23/20, 71.09, 71.63, 70.82, 71.45
07/22/20, 70.68, 71.29, 70.60, 71.09
07/21/20, 71.42, 71.58, 70.53, 70.66
07/20/20, 71.71, 72.12, 71.33, 71.42
07/17/20, 71.55, 71.99, 71.49, 71.88
07/16/20, 70.92, 71.61, 70.72, 71.56
07/15/20, 70.99, 71.12, 70.66, 70.93
07/14/20, 71.01, 71.33, 70.80, 70.98
07/13/20, 70.73, 71.02, 70.51, 71.01
07/10/20, 70.86, 71.43, 70.65, 70.73
07/09/20, 71.20, 71.33, 70.49, 70.85
07/08/20, 71.33, 71.56, 71.04, 71.18
07/07/20, 71.82, 72.30, 71.25, 71.33
07/06/20, 71.45, 72.10, 70.81, 71.83
07/03/20, 70.58, 71.65, 70.33, 71.45
07/02/20, 70.79, 70.79, 70.19, 70.58
07/01/20, 71.20, 71.24, 70.58, 70.79
06/30/20, 70.01, 71.33, 70.01, 71.20
06/29/20, 69.78, 70.44, 69.61, 70.01
06/26/20, 69.11, 69.97, 69.01, 69.78
06/25/20, 69.57, 69.67, 69.02, 69.08
06/24/20, 68.80, 69.64, 68.70, 69.57
06/23/20, 69.12, 69.55, 68.56, 68.85
06/22/20, 69.42, 69.73, 68.98, 69.12
06/19/20, 69.89, 69.96, 69.19, 69.42
06/18/20, 69.76, 69.97, 69.16, 69.88
06/17/20, 69.65, 69.89, 69.38, 69.76
06/16/20, 69.56, 69.93, 69.20, 69.66
06/15/20, 69.74, 70.53, 69.54, 69.56
06/12/20, 70.16, 70.21, 69.23, 69.74
06/11/20, 68.47, 70.24, 68.43, 70.16
06/10/20, 68.60, 68.92, 68.20, 68.47
06/09/20, 68.24, 68.96, 68.08, 68.60
06/08/20, 68.71, 68.71, 68.04, 68.23
06/05/20, 69.14, 69.16, 68.27, 68.70
06/04/20, 68.61, 69.54, 68.49, 69.15
06/03/20, 68.67, 68.93, 68.22, 68.61
06/02/20, 69.03, 69.17, 68.59, 68.66
06/01/20, 70.14, 70.32, 69.00, 69.03
05/29/20, 70.52, 70.84, 70.14, 70.14
05/28/20, 70.99, 71.20, 70.18, 70.52
05/27/20, 70.80, 71.47, 70.75, 70.99
05/26/20, 71.65, 71.67, 70.62, 70.81
05/25/20, 71.63, 71.84, 71.38, 71.64
05/22/20, 70.95, 72.09, 70.91, 71.63
05/21/20, 71.11, 71.45, 70.61, 70.94
05/20/20, 72.42, 72.61, 71.09, 71.11
05/19/20, 72.69, 72.75, 72.21, 72.42
05/18/20, 73.61, 73.64, 72.58, 72.69
05/15/20, 73.50, 73.87, 73.03, 73.61
05/14/20, 74.01, 74.49, 73.46, 73.50
05/13/20, 73.64, 74.23, 73.10, 73.94
05/12/20, 73.69, 73.74, 72.98, 73.63
05/11/20, 73.40, 73.98, 73.14, 73.68
05/08/20, 73.93, 74.07, 73.11, 73.40
05/07/20, 74.50, 74.54, 73.60, 73.93
05/06/20, 73.73, 75.00, 73.35, 74.50
05/05/20, 74.81, 74.92, 73.60, 73.72
05/04/20, 75.38, 75.94, 74.79, 74.80
05/01/20, 74.37, 75.80, 74.34, 75.36
04/30/20, 73.02, 74.63, 72.64, 74.26
04/29/20, 74.18, 74.18, 73.02, 73.02
04/28/20, 74.47, 74.87, 73.80, 74.17
04/27/20, 74.59, 74.82, 74.05, 74.47
04/24/20, 74.80, 76.34, 73.97, 74.59
04/23/20, 75.98, 76.00, 74.24, 74.80
04/22/20, 77.08, 77.66, 75.82, 75.91
04/21/20, 75.52, 77.61, 75.42, 77.08
04/20/20, 74.03, 75.30, 74.03, 75.25
04/17/20, 74.23, 74.41, 73.17, 74.03
04/16/20, 74.86, 75.02, 73.74, 74.23
04/15/20, 73.01, 75.34, 72.91, 74.85
04/14/20, 73.61, 73.71, 72.74, 73.01
04/13/20, 73.79, 73.79, 73.10, 73.61
04/10/20, 74.22, 74.38, 73.18, 73.79
04/09/20, 75.06, 75.16, 72.81, 74.20
04/08/20, 75.56, 75.90, 74.93, 75.05
04/07/20, 76.04, 76.07, 75.20, 75.57
04/06/20, 76.64, 77.16, 75.93, 76.05
04/03/20, 77.20, 77.85, 76.55, 76.64
04/02/20, 78.70, 79.21, 77.21, 77.21
04/01/20, 78.45, 79.37, 78.43, 78.70
03/31/20, 79.47, 79.73, 77.70, 78.45
03/30/20, 78.77, 80.46, 78.77, 79.46
03/27/20, 77.48, 79.29, 77.36, 78.74
03/26/20, 78.19, 79.04, 77.01, 77.48
03/25/20, 78.33, 79.38, 76.99, 78.19
03/24/20, 79.59, 79.61, 78.18, 78.33
03/23/20, 79.98, 81.07, 79.44, 79.59
03/20/20, 79.15, 80.05, 77.41, 79.98
03/19/20, 80.82, 82.12, 78.59, 79.15
03/18/20, 75.44, 81.72, 75.14, 81.03
03/17/20, 74.45, 75.47, 73.45, 75.44
03/16/20, 72.62, 75.42, 72.02, 74.51
03/13/20, 74.91, 75.03, 72.07, 72.62
03/12/20, 72.81, 75.44, 72.70, 74.90
03/11/20, 71.53, 73.15, 70.65, 72.81
03/10/20, 74.79, 74.87, 70.73, 71.53
03/09/20, 68.56, 75.42, 68.56, 74.51
03/06/20, 67.62, 68.61, 67.35, 68.58
03/05/20, 66.23, 67.73, 66.01, 67.62
03/04/20, 66.05, 66.54, 65.51, 66.24
03/03/20, 66.31, 66.66, 65.34, 66.05
03/02/20, 66.91, 67.31, 66.11, 66.40
02/28/20, 66.28, 67.65, 66.28, 66.91
02/27/20, 65.43, 66.40, 65.41, 66.27
02/26/20, 65.28, 65.72, 64.97, 65.42
02/25/20, 65.32, 65.60, 64.71, 65.28
02/24/20, 64.08, 65.81, 64.06, 65.32
02/21/20, 64.16, 64.56, 63.90, 64.07
02/20/20, 63.52, 64.30, 63.52, 64.16
02/19/20, 63.86, 63.93, 63.46, 63.54
02/18/20, 63.48, 64.19, 63.44, 63.84
02/17/20, 63.52, 63.57, 63.21, 63.49
02/14/20, 63.69, 63.70, 63.39, 63.53
02/13/20, 63.22, 63.78, 63.22, 63.69
02/12/20, 63.38, 63.42, 62.92, 63.18
02/11/20, 64.11, 64.12, 63.25, 63.38
02/10/20, 64.14, 64.30, 63.66, 64.12
02/07/20, 63.34, 64.23, 63.23, 64.14
02/06/20, 62.89, 63.42, 62.63, 63.33
02/05/20, 63.04, 63.29, 62.56, 62.90
02/04/20, 63.68, 63.72, 62.85, 63.04
02/03/20, 63.97, 64.09, 63.49, 63.68
01/31/20, 63.17, 64.02, 63.07, 63.98
01/30/20, 62.54, 63.51, 62.51, 63.17
01/29/20, 62.25, 62.82, 62.18, 62.54
01/28/20, 62.98, 63.13, 62.22, 62.25
01/27/20, 62.08, 63.11, 62.08, 62.97
01/24/20, 61.92, 62.28, 61.72, 62.07
01/23/20, 61.87, 62.09, 61.84, 61.92
01/22/20, 61.93, 62.06, 61.77, 61.86
01/21/20, 61.60, 61.97, 61.57, 61.92
01/20/20, 61.58, 61.64, 61.39, 61.60
01/17/20, 61.66, 61.69, 61.30, 61.60
01/16/20, 61.41, 61.76, 61.35, 61.66
01/15/20, 61.42, 61.73, 61.35, 61.41
01/14/20, 61.25, 61.50, 61.14, 61.43
01/13/20, 61.03, 61.39, 60.89, 61.26
01/10/20, 61.31, 61.38, 60.88, 61.04
01/09/20, 61.27, 61.40, 61.14, 61.31
01/08/20, 61.97, 62.13, 61.08, 61.27
01/07/20, 61.81, 62.11, 61.62, 61.97
01/06/20, 62.05, 62.34, 61.75, 61.81
01/03/20, 61.70, 62.24, 61.70, 62.05
01/02/20, 61.86, 62.14, 61.61, 61.72
01/01/20, 62.06, 62.06, 61.43, 61.86